Taliban,12936
Islamic State of Iraq and the Levant (ISIL),7479
Shining Path (SL),4567
Al-Shabaab,4547
Houthi extremists (Ansar Allah),3516
Boko Haram,3459
New People's Army (NPA),3441
Farabundo Marti National Liberation Front (FMLN),3351
Irish Republican Army (IRA),2670
Kurdistan Workers' Party (PKK),2612
Revolutionary Armed Forces of Colombia (FARC),2490
Maoists,2164
Communist Party of India - Maoist (CPI-Maoist),2113
Basque Fatherland and Freedom (ETA),2024
National Liberation Army of Colombia (ELN),1842
Liberation Tigers of Tamil Eelam (LTTE),1602
Tehrik-i-Taliban Pakistan (TTP),1509
Fulani extremists,1280
Palestinians,1123
Al-Qaida in the Arabian Peninsula (AQAP),1121
Muslim extremists,967
Separatists,948
Nicaraguan Democratic Force (FDN),895
Manuel Rodriguez Patriotic Front (FPMR),830
Sikh Extremists,716
Khorasan Chapter of the Islamic State,663
Corsican National Liberation Front (FLNC),641
Donetsk People's Republic,639
Al-Qaida in Iraq,638
African National Congress (South Africa),607
Palestinian Extremists,606
Abu Sayyaf Group (ASG),595
Sinai Province of the Islamic State,566
Tupac Amaru Revolutionary Movement (MRTA),557
M-19 (Movement of April 19),555
Bangsamoro Islamic Freedom Movement (BIFM),548
Hamas (Islamic Resistance Movement),526
Allied Democratic Forces (ADF),503
People's Liberation Front (JVP),433
National Union for the Total Independence of Angola (UNITA),432
Hezbollah,416
United Liberation Front of Assam (ULFA),394
Algerian Islamic Extremists,373
Narco-Terrorists,369
Moro Islamic Liberation Front (MILF),369
Tripoli Province of the Islamic State,361
Lord's Resistance Army (LRA),341
Protestant extremists,335
Chechen Rebels,327
Death Squad,326
Baloch Republican Army (BRA),323
Mozambique National Resistance Movement (MNR),313
Movement of the Revolutionary Left (MIR) (Chile),306
Communist Party of Nepal - Maoist (CPN-Maoist-Chand),302
Muslim Militants,294
Popular Liberation Army (EPL),289
Gunmen,280
Hizbul Mujahideen (HM),280
Al-Nusrah Front,276
Ulster Volunteer Force (UVF),270
Al-Qaida in the Islamic Maghreb (AQIM),267
Neo-Nazi extremists,267
Ulster Freedom Fighters (UFF),265
Al-Gama'at al-Islamiyya (IG),259
Lashkar-e-Taiba (LeT),256
Dev Sol,252
Palestinian Islamic Jihad (PIJ),239
Anti-Abortion extremists,237
Armed Islamic Group (GIA),236
Jamaat Nusrat al-Islam wal Muslimin (JNIM),231
Nicaraguan Resistance,231
Revolutionary Armed Forces of Colombia (FARC) dissidents,226
Janjaweed,220
Tamils,217
Red Brigades,217
Luhansk People's Republic,215
Salafist Group for Preaching and Fighting (GSPC),214
Baloch Liberation Army (BLA),213
First of October Antifascist Resistance Group (GRAPO),210
Sandinista National Liberation Front (FSLN),209
Baloch Liberation Front (BLF),206
Simon Bolivar Guerrilla Coordinating Board (CGSB),206
Moro National Liberation Front (MNLF),197
Islamist extremists,194
Armenian Secret Army for the Liberation of Armenia,186
Al-Aqsa Martyrs Brigade,178
Muttahida Qami Movement (MQM),176
National Democratic Front of Bodoland (NDFB),176
Palestine Liberation Organization (PLO),175
Left-Wing Militants,173
Jihadi-inspired extremists,172
Tribesmen,170
Garo National Liberation Army,169
Barqa Province of the Islamic State,169
Hutu extremists,168
People's Liberation Forces (FPL),167
Mayi Mayi,165
Muslim Separatists,163
Anarchists,161
